subject,conditions,late_pro_prob,inhib_fail_prob,late_pro_rt,anti_rt,inhib_fail_rt,predicted_pro_rt,predicted_pro_prob,predicted_anti_rt,predicted_anti_prob,age,test_retest
38,2,0.993332366796471,0.0970209026366568,3.31556650127219,2.88572471607982,1.59194804820367,3.14114439048254,0.993814747483744,2.83257376091975,0.00618525251625573,0,1
39,1,0.0130109056054839,0.0360513323009352,2.95768643087785,3.24842168506929,1.27286564942446,1.66102901358228,0.051007485126747,3.24702680338291,0.948992514873253,0,1
39,2,0.993220166913355,0.0760781270870794,3.07812931466559,2.85865150197936,1.91474074685634,2.9736371574428,0.993631266499129,2.81200711674656,0.00636873350087101,0,1
40,1,0.0161844676593145,0.0186633692280297,2.92532743397713,3.45132605907086,1.12297588446198,1.87415052755676,0.0362621362829676,3.45097488327251,0.963737863717032,1,1
40,2,0.973366927945048,0.0269121191848298,2.99700067272528,2.79934380400653,1.26093750783642,2.9431108907812,0.97405193347003,2.79240568923235,0.0259480665299703,1,1
41,1,0.0230568318554476,0.0294944320818961,3.51502193342325,3.77203551968745,1.1424154105589,2.15673731724437,0.0533604775733164,3.77087335344385,0.946639522426683,1,1
41,2,0.987851799343428,0.042933795634186,3.79008777073042,3.5027602459321,2.22534341055319,3.71670683125599,0.988310155981696,3.47983954248211,0.0116898440183042,1,1
42,1,0.0837223133015908,0.0594166191147008,2.43504596085304,2.85345027703459,1.21694017409682,1.90865765951263,0.140285286801313,2.84696084885867,0.859714713198686,0,1
42,2,0.985860884321331,0.0393729256516704,2.44940061509203,2.18531193821949,1.33548694332998,2.39412856063672,0.986351570909289,2.16360792416939,0.0136484290907108,0,1
43,1,0.020035870022473,0.0342595283205194,2.83331820328264,3.33915514068036,1.17339973309168,1.75804414158576,0.0546823499756024,3.33825777130411,0.945317650024398,1,1
43,2,0.991607579721896,0.0643716498896311,2.94855180280332,2.70286602436706,1.70924059120624,2.857718364742,0.992075368213778,2.67034801656238,0.00792463178622175,1,1
44,1,0.0229485209442006,0.146081356552656,2.98429346424407,3.30949680813991,1.58604767520919,1.74091040181594,0.167429018433738,3.29711597997307,0.832570981566262,0,1
44,2,0.476644663850743,0.262938963595854,3.26975944887115,3.38025856239445,1.79565384592395,2.61388305758048,0.616605385487594,3.35376791513234,0.383394614512406,0,1
45,1,0.0958027803779258,0.138109267135019,2.61957121773666,2.89882600528074,1.48595348599488,1.88795376727232,0.224074030623435,2.85041448206448,0.775925969376565,1,1
45,2,0.907557723427607,0.14594962693345,2.74240032210659,2.25454104666812,1.64487183892126,2.53384442999856,0.918208788839203,2.17016689208885,0.0817912111607968,1,1
46,1,0.0187728281824481,0.102693514916813,2.44957272196294,2.8540403514837,1.68960714705321,1.78622477368272,0.120936463692974,2.84686777309483,0.879063536307026,0,1
46,2,0.990122854864342,0.163391562830206,2.75192504553179,2.56341501938053,1.86840490905435,2.57032028343704,0.991572852637361,2.47379989340479,0.00842714736263929,0,1
47,1,0.0264028055527847,0.109273843612616,3.23267053070094,3.70189102277478,1.59028326492519,1.85808620852835,0.13459002917794,3.69776663205639,0.86540997082206,0,1
47,2,0.983824132666755,0.277464360053856,3.22576077445676,2.95770430684717,1.88760981091802,2.81872736728807,0.987622476116053,2.85053918669411,0.0123775238839467,0,1
48,1,0.0685986418825763,0.0334893531077186,3.09362148149052,3.51494746979389,1.55456848529117,2.58353052347301,0.101456846089776,3.51297086643451,0.898543153910224,1,1
48,2,0.992113020110143,0.0410151671974339,2.62154556931834,2.46692734511659,1.48979852104779,2.56937188260107,0.99238202849122,2.44698637123924,0.00761797150878021,1,1
49,1,0.0760450191430464,0.0460397991222458,2.59160077354157,3.2175291335908,1.14095684902707,2.07652393777501,0.120781811174655,3.21423135312772,0.879218188825345,0,1
49,2,0.971931778585006,0.0642833132594429,2.67574000747287,2.12683390031981,1.32662388388465,2.58166205855982,0.973526610138689,2.11363320297894,0.0264733898613111,0,1
50,1,0.0786034952414107,0.160435959060386,2.52606792610934,3.31186509570028,1.71212595625954,1.93975297942553,0.231554849552555,3.29260012031606,0.768445150447445,1,1
