"id","test_nr","blok","typ","error","correct","age","rt","gain","peak_velocity"
"F6",2,2,"a",8,30,1,356.315789473684,0.925894736842105,253.157894736842
"F6",2,3,"a",10,29,1,360.358974358974,0.820948717948718,239.051282051282
"F6",2,4,"a",12,24,1,334.027777777778,0.793388888888889,232.194444444444
"F6",2,5,"p",7,44,1,215.823529411765,0.710411764705882,212.823529411765
"F9",2,1,"p",2,57,1,365.64406779661,0.76528813559322,271.118644067797
"F9",2,2,"a",3,37,1,360.575,0.80105,252.775
"F9",2,3,"a",3,37,1,322,0.919875,272.9
"F9",2,4,"a",5,35,1,344.575,0.8557,253.125
"F9",2,5,"p",1,58,1,365.762711864407,0.785084745762712,286.271186440678
"H0",2,1,"p",3,45,1,223.770833333333,0.945708333333333,284.8125
"H0",2,2,"a",15,15,1,304.9,0.660566666666667,202
"H0",2,3,"a",12,17,1,292.137931034483,0.683206896551724,328.103448275862
"H0",2,4,"a",12,15,1,314.111111111111,0.942037037037037,350.592592592593
"H0",2,5,"p",9,34,1,239.604651162791,0.726279069767442,298.209302325581
"H6",2,1,"p",6,52,1,304.948275862069,0.799534482758621,287.241379310345
"H6",2,2,"a",6,33,1,328.358974358974,0.435307692307692,212.487179487179
"H6",2,3,"a",4,33,1,361.297297297297,0.571243243243243,216.567567567568
"H6",2,4,"a",4,33,1,352.594594594595,0.479459459459459,226.675675675676
"H6",2,5,"p",3,48,1,286.352941176471,0.730313725490196,272.352941176471
"I1",2,1,"p",3,56,0,323.745762711864,0.840508474576271,300.610169491525
"I1",2,2,"a",1,39,0,318.525,0.919175,303.95
"I1",2,3,"a",2,38,0,335.675,0.9608,350.675
"I1",2,4,"a",2,37,0,332.051282051282,0.905717948717949,343.230769230769
"I1",2,5,"p",0,59,0,322.271186440678,0.835864406779661,330.305084745763
"I5",2,1,"p",0,60,0,250.15,0.774016666666667,293.783333333333
"I5",2,2,"a",4,36,0,274.7,0.75395,320.8
"I5",2,3,"a",11,27,0,266.184210526316,0.793842105263158,387.342105263158
"I5",2,4,"a",6,32,0,245.289473684211,0.700157894736842,278.631578947368
"I5",2,5,"p",4,54,0,215.310344827586,0.726672413793103,323.51724137931
"K4",2,1,"p",0,59,0,276.338983050847,0.844864406779661,337.830508474576
"K4",2,2,"a",5,35,0,296.6,0.780025,288.2
"K4",2,3,"a",2,38,0,306.575,0.768175,293.55
"K4",2,4,"a",7,33,0,298.225,0.768125,300.875
"K4",2,5,"p",1,57,0,227.758620689655,0.7935,293.793103448276
"L4",2,1,"p",0,58,0,305.5,0.766827586206897,386.810344827586
"L4",2,2,"a",4,32,0,330.805555555556,0.744305555555556,382.25
"L4",2,3,"a",0,36,0,351.222222222222,0.762666666666667,491.222222222222
"L4",2,4,"a",3,37,0,345.85,0.702225,310.125
